"Kod stacji ";"Nazwa stacji";"Rok";"Miesiąc";"Dzień";"Średnia dobowa temperatura";"Średnia dobowa wilgotność względna";"Średnia dobowa prędkość wiatru [m/s]";"Średnie dobowe zachmurzenie ogólne [oktanty]"
252200150;"WARSZAWA-BIELANY";2020;3;4;"6.7";"80.0";"2.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;3;5;"4.4";"72.3";"2.3";"3.0"
252200150;"WARSZAWA-BIELANY";2020;3;6;"4.0";"74.3";"4.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;3;7;"6.3";"85.0";"3.0";"7.3"
252200150;"WARSZAWA-BIELANY";2020;3;8;"5.4";"82.5";"1.7";"7.7"
252200150;"WARSZAWA-BIELANY";2020;3;9;"4.5";"78.0";"2.7";"1.7"
252200150;"WARSZAWA-BIELANY";2020;3;10;"7.5";"78.3";"2.0";"5.3"
252200150;"WARSZAWA-BIELANY";2020;3;11;"8.9";"72.8";"5.3";"5.0"
252200150;"WARSZAWA-BIELANY";2020;3;12;"8.9";"73.3";"4.3";"5.7"
252200150;"WARSZAWA-BIELANY";2020;3;13;"5.7";"35.5";"3.7";".7"
252200150;"WARSZAWA-BIELANY";2020;3;14;"2.1";"67.3";"3.7";"5.3"
252200150;"WARSZAWA-BIELANY";2020;3;15;".5";"54.0";"2.7";"3.0"
252200150;"WARSZAWA-BIELANY";2020;3;16;"5.2";"70.0";"3.3";"6.0"
252200150;"WARSZAWA-BIELANY";2020;3;17;"7.2";"47.0";"2.3";"3.0"
252200150;"WARSZAWA-BIELANY";2020;3;18;"10.8";"50.5";"3.3";"1.3"
252200150;"WARSZAWA-BIELANY";2020;3;19;"10.0";"48.5";"3.0";"2.0"
252200150;"WARSZAWA-BIELANY";2020;3;20;"6.1";"54.8";"1.0";"1.7"
252200150;"WARSZAWA-BIELANY";2020;3;21;"3.6";"55.0";"3.0";"2.3"
252200150;"WARSZAWA-BIELANY";2020;3;22;".1";"45.3";"3.3";"2.0"
252200150;"WARSZAWA-BIELANY";2020;3;23;"-.6";"53.0";"2.7";"4.0"
252200150;"WARSZAWA-BIELANY";2020;3;24;"-.5";"49.5";"2.3";"1.7"
252200150;"WARSZAWA-BIELANY";2020;3;25;"1.7";"36.8";"3.0";"7.3"
252200150;"WARSZAWA-BIELANY";2020;3;26;"5.3";"54.0";"3.7";"6.0"
252200150;"WARSZAWA-BIELANY";2020;3;27;"8.0";"50.3";"3.7";"5.7"
252200150;"WARSZAWA-BIELANY";2020;3;28;"8.4";"39.8";"1.7";"1.3"
252200150;"WARSZAWA-BIELANY";2020;3;29;"5.8";"37.8";"3.3";"3.3"
252200150;"WARSZAWA-BIELANY";2020;3;30;"-.1";"66.3";"2.3";"7.3"
252200150;"WARSZAWA-BIELANY";2020;3;31;".9";"73.3";"2.7";"2.3"
252200150;"WARSZAWA-BIELANY";2020;4;1;"2.4";"58.0";"4.3";"1.0"
252200150;"WARSZAWA-BIELANY";2020;4;2;"5.2";"52.3";"3.3";"4.7"
252200150;"WARSZAWA-BIELANY";2020;4;3;"6.9";"46.5";"5.3";"3.7"
252200150;"WARSZAWA-BIELANY";2020;4;4;"5.6";"54.8";"2.0";"3.3"
252200150;"WARSZAWA-BIELANY";2020;4;5;"6.7";"55.0";"1.7";".7"
252200150;"WARSZAWA-BIELANY";2020;4;6;"11.5";"31.3";"3.7";".0"
252200150;"WARSZAWA-BIELANY";2020;4;7;"13.5";"34.8";"2.3";".0"
252200150;"WARSZAWA-BIELANY";2020;4;8;"12.3";"47.5";"1.0";".0"
252200150;"WARSZAWA-BIELANY";2020;4;9;"14.8";"36.5";"3.7";"3.0"
252200150;"WARSZAWA-BIELANY";2020;4;10;"9.3";"58.0";"2.0";"3.7"
252200150;"WARSZAWA-BIELANY";2020;4;11;"7.8";"42.8";"2.3";"2.3"
252200150;"WARSZAWA-BIELANY";2020;4;12;"12.2";"35.5";"2.7";".7"
252200150;"WARSZAWA-BIELANY";2020;4;13;"9.9";"67.3";"3.7";"5.3"
252200150;"WARSZAWA-BIELANY";2020;4;14;"3.9";"54.0";"4.0";"3.0"
252200150;"WARSZAWA-BIELANY";2020;4;15;"5.5";"70.0";"4.3";"6.0"
252200150;"WARSZAWA-BIELANY";2020;4;16;"11.0";"47.0";"5.7";"3.0"
252200150;"WARSZAWA-BIELANY";2020;4;17;"8.4";"50.5";"3.7";"1.3"
252200150;"WARSZAWA-BIELANY";2020;4;18;"6.2";"48.5";"1.7";"2.0"
252200150;"WARSZAWA-BIELANY";2020;4;19;"6.3";"54.8";"3.7";"1.7"
252200150;"WARSZAWA-BIELANY";2020;4;20;"7.5";"55.0";"1.3";"2.3"
252200150;"WARSZAWA-BIELANY";2020;4;21;"10.1";"45.3";"2.3";"2.0"
252200150;"WARSZAWA-BIELANY";2020;4;22;"11.6";"53.0";"1.7";"4.0"
252200150;"WARSZAWA-BIELANY";2020;4;23;"11.7";"49.5";"2.0";"1.7"
252200150;"WARSZAWA-BIELANY";2020;4;24;"14.5";"36.8";"2.0";"7.3"
252200150;"WARSZAWA-BIELANY";2020;4;25;"11.4";"54.0";"3.7";"6.0"
252200150;"WARSZAWA-BIELANY";2020;4;26;"8.7";"50.3";"2.0";"5.7"
252200150;"WARSZAWA-BIELANY";2020;4;27;"11.7";"39.8";"1.7";"1.3"
252200150;"WARSZAWA-BIELANY";2020;4;28;"16.8";"37.8";"2.3";"3.3"
252200150;"WARSZAWA-BIELANY";2020;4;29;"12.3";"66.3";"3.0";"7.3"
252200150;"WARSZAWA-BIELANY";2020;4;30;"11.4";"73.3";"3.0";"2.3"
252200150;"WARSZAWA-BIELANY";2020;5;1;"11.3";"82.0";"3.7";"7.0"
252200150;"WARSZAWA-BIELANY";2020;5;2;"12.2";"77.5";"2.3";"3.3"
252200150;"WARSZAWA-BIELANY";2020;5;3;"11.0";"73.5";"3.0";"6.3"
252200150;"WARSZAWA-BIELANY";2020;5;4;"11.0";"73.8";"1.3";"3.3"
252200150;"WARSZAWA-BIELANY";2020;5;5;"9.1";"86.0";"2.7";"7.7"
252200150;"WARSZAWA-BIELANY";2020;5;6;"9.7";"81.5";"3.7";"7.0"
252200150;"WARSZAWA-BIELANY";2020;5;7;"10.8";"61.8";"3.0";"3.0"
252200150;"WARSZAWA-BIELANY";2020;5;8;"13.5";"49.8";"2.3";"1.7"
252200150;"WARSZAWA-BIELANY";2020;5;9;"14.1";"54.3";"1.3";"2.7"
252200150;"WARSZAWA-BIELANY";2020;5;10;"17.0";"44.8";"3.3";"3.3"
252200150;"WARSZAWA-BIELANY";2020;5;11;"15.9";"68.0";"3.0";"5.3"
252200150;"WARSZAWA-BIELANY";2020;5;12;"6.0";"69.3";"4.3";"6.3"
252200150;"WARSZAWA-BIELANY";2020;5;13;"9.2";"55.5";"2.3";"7.3"
252200150;"WARSZAWA-BIELANY";2020;5;14;"9.6";"72.8";"2.0";"6.3"
252200150;"WARSZAWA-BIELANY";2020;5;15;"9.9";"68.0";"1.7";"3.0"
252200150;"WARSZAWA-BIELANY";2020;5;16;"10.6";"58.0";"3.7";"5.7"
252200150;"WARSZAWA-BIELANY";2020;5;17;"12.5";"52.3";"3.3";"4.7"
252200150;"WARSZAWA-BIELANY";2020;5;18;"12.6";"62.8";"2.0";"7.7"
252200150;"WARSZAWA-BIELANY";2020;5;19;"14.1";"76.0";"2.7";"7.7"
252200150;"WARSZAWA-BIELANY";2020;5;20;"11.2";"67.5";"2.0";"5.7"
252200150;"WARSZAWA-BIELANY";2020;5;21;"9.4";"52.0";"3.0";"2.3"
252200150;"WARSZAWA-BIELANY";2020;5;22;"10.2";"52.5";"2.0";"1.0"
252200150;"WARSZAWA-BIELANY";2020;5;23;"13.4";"47.0";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;5;24;"13.1";"73.0";"3.3";"4.3"
252200150;"WARSZAWA-BIELANY";2020;5;25;"12.5";"78.3";"1.7";"5.3"
252200150;"WARSZAWA-BIELANY";2020;5;26;"13.8";"77.3";"2.3";"3.7"
252200150;"WARSZAWA-BIELANY";2020;5;27;"14.3";"63.8";"1.7";"3.7"
252200150;"WARSZAWA-BIELANY";2020;5;28;"14.9";"61.3";"2.0";"4.0"
252200150;"WARSZAWA-BIELANY";2020;5;29;"14.6";"50.5";"3.0";"2.0"
252200150;"WARSZAWA-BIELANY";2020;5;30;"11.9";"72.0";"2.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;5;31;"16.0";"62.3";"2.7";"5.0"
252200150;"WARSZAWA-BIELANY";2020;6;1;"14.6";"48.3";"3.0";"3.0"
252200150;"WARSZAWA-BIELANY";2020;6;2;"14.6";"55.5";"2.3";"1.7"
252200150;"WARSZAWA-BIELANY";2020;6;3;"12.9";"68.8";"2.3";"5.0"
252200150;"WARSZAWA-BIELANY";2020;6;4;"15.0";"57.3";"2.0";"2.3"
252200150;"WARSZAWA-BIELANY";2020;6;5;"16.6";"76.5";"3.0";"7.3"
252200150;"WARSZAWA-BIELANY";2020;6;6;"18.7";"58.8";"3.0";"4.3"
252200150;"WARSZAWA-BIELANY";2020;6;7;"20.1";"77.5";"1.7";"5.3"
252200150;"WARSZAWA-BIELANY";2020;6;8;"17.0";"87.0";"2.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;6;9;"15.1";"85.8";"1.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;6;10;"17.9";"93.5";"1.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;6;11;"21.1";"83.8";"1.3";"6.3"
252200150;"WARSZAWA-BIELANY";2020;6;12;"23.4";"70.8";"2.0";"2.3"
252200150;"WARSZAWA-BIELANY";2020;6;13;"22.9";"74.0";"3.0";"4.0"
252200150;"WARSZAWA-BIELANY";2020;6;14;"18.2";"68.8";"3.0";"4.0"
252200150;"WARSZAWA-BIELANY";2020;6;15;"17.1";"75.5";"1.3";"3.3"
252200150;"WARSZAWA-BIELANY";2020;6;16;"18.8";"59.8";"1.7";"3.7"
252200150;"WARSZAWA-BIELANY";2020;6;17;"20.1";"80.3";"2.3";"7.0"
252200150;"WARSZAWA-BIELANY";2020;6;18;"20.6";"93.3";"1.3";"6.7"
252200150;"WARSZAWA-BIELANY";2020;6;19;"21.5";"77.3";"2.7";"4.3"
252200150;"WARSZAWA-BIELANY";2020;6;20;"20.1";"92.0";"1.0";"6.3"
252200150;"WARSZAWA-BIELANY";2020;6;21;"20.0";"92.3";"1.3";"7.3"
252200150;"WARSZAWA-BIELANY";2020;6;22;"19.7";"95.5";"1.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;6;23;"18.2";"78.5";"2.0";"4.7"
252200150;"WARSZAWA-BIELANY";2020;6;24;"18.1";"96.8";"2.0";"7.7"
252200150;"WARSZAWA-BIELANY";2020;6;25;"23.2";"70.0";"3.7";"2.7"
252200150;"WARSZAWA-BIELANY";2020;6;26;"22.0";"63.5";"3.3";"4.0"
252200150;"WARSZAWA-BIELANY";2020;6;27;"21.8";"78.3";"1.7";"5.0"
252200150;"WARSZAWA-BIELANY";2020;6;28;"23.9";"68.5";"2.7";"2.0"
252200150;"WARSZAWA-BIELANY";2020;6;29;"20.3";"81.0";"2.3";"6.7"
252200150;"WARSZAWA-BIELANY";2020;6;30;"19.3";"69.3";"3.3";"3.3"
252200150;"WARSZAWA-BIELANY";2020;7;1;"21.9";"55.8";"2.7";".7"
252200150;"WARSZAWA-BIELANY";2020;7;2;"22.1";"80.0";"2.7";"3.0"
252200150;"WARSZAWA-BIELANY";2020;7;3;"21.1";"80.3";"2.0";"4.0"
252200150;"WARSZAWA-BIELANY";2020;7;4;"21.0";"65.0";"3.0";".7"
252200150;"WARSZAWA-BIELANY";2020;7;5;"23.5";"58.5";"3.0";"5.0"
252200150;"WARSZAWA-BIELANY";2020;7;6;"21.7";"73.5";"2.7";"6.3"
252200150;"WARSZAWA-BIELANY";2020;7;7;"16.1";"66.0";"2.0";"5.3"
252200150;"WARSZAWA-BIELANY";2020;7;8;"15.2";"61.3";"3.7";"6.3"
252200150;"WARSZAWA-BIELANY";2020;7;9;"17.0";"67.3";"1.7";"4.7"
252200150;"WARSZAWA-BIELANY";2020;7;10;"22.2";"72.0";"2.0";"5.7"
252200150;"WARSZAWA-BIELANY";2020;7;11;"16.7";"85.5";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;7;12;"15.8";"67.8";"1.7";"4.3"
252200150;"WARSZAWA-BIELANY";2020;7;13;"16.0";"69.5";"1.7";"6.7"
252200150;"WARSZAWA-BIELANY";2020;7;14;"18.1";"62.0";"1.3";"4.3"
252200150;"WARSZAWA-BIELANY";2020;7;15;"20.3";"52.8";"1.7";"2.0"
252200150;"WARSZAWA-BIELANY";2020;7;16;"17.9";"85.8";"2.3";"7.7"
252200150;"WARSZAWA-BIELANY";2020;7;17;"17.3";"83.3";"1.7";"4.7"
252200150;"WARSZAWA-BIELANY";2020;7;18;"21.2";"67.3";"2.0";"1.7"
252200150;"WARSZAWA-BIELANY";2020;7;19;"22.4";"62.5";"1.7";"4.0"
252200150;"WARSZAWA-BIELANY";2020;7;20;"21.4";"80.8";"2.7";"5.3"
252200150;"WARSZAWA-BIELANY";2020;7;21;"18.6";"71.0";"2.7";"4.3"
252200150;"WARSZAWA-BIELANY";2020;7;22;"16.8";"58.5";"1.7";"2.7"
252200150;"WARSZAWA-BIELANY";2020;7;23;"16.2";"66.3";"2.0";"6.7"
252200150;"WARSZAWA-BIELANY";2020;7;24;"19.0";"54.8";"2.3";"1.3"
252200150;"WARSZAWA-BIELANY";2020;7;25;"21.0";"59.0";"3.0";"2.7"
252200150;"WARSZAWA-BIELANY";2020;7;26;"22.3";"50.5";"1.7";"2.0"
252200150;"WARSZAWA-BIELANY";2020;7;27;"22.6";"66.5";"1.3";"5.3"
252200150;"WARSZAWA-BIELANY";2020;7;28;"24.7";"71.3";"2.7";"5.7"
252200150;"WARSZAWA-BIELANY";2020;7;29;"21.3";"89.5";"2.3";"3.7"
252200150;"WARSZAWA-BIELANY";2020;7;30;"19.3";"67.0";"3.0";"2.7"
252200150;"WARSZAWA-BIELANY";2020;7;31;"18.0";"58.3";"2.0";"5.3"
252200150;"WARSZAWA-BIELANY";2020;8;1;"18.9";"67.5";"1.7";"4.0"
252200150;"WARSZAWA-BIELANY";2020;8;2;"20.0";"54.5";"1.3";"3.0"
252200150;"WARSZAWA-BIELANY";2020;8;3;"20.2";"69.0";"1.7";"7.7"
252200150;"WARSZAWA-BIELANY";2020;8;4;"17.3";"96.3";"1.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;8;5;"17.1";"78.0";"1.3";"2.7"
252200150;"WARSZAWA-BIELANY";2020;8;6;"20.8";"65.0";"2.3";"2.3"
252200150;"WARSZAWA-BIELANY";2020;8;7;"23.3";"63.8";"1.7";"2.0"
252200150;"WARSZAWA-BIELANY";2020;8;8;"24.5";"59.5";"1.0";".7"
252200150;"WARSZAWA-BIELANY";2020;8;9;"24.1";"65.8";"1.0";"3.0"
252200150;"WARSZAWA-BIELANY";2020;8;10;"23.3";"64.8";"1.3";"2.0"
252200150;"WARSZAWA-BIELANY";2020;8;11;"22.5";"63.0";"2.0";"1.3"
252200150;"WARSZAWA-BIELANY";2020;8;12;"19.1";"60.5";"1.0";".7"
252200150;"WARSZAWA-BIELANY";2020;8;13;"20.3";"54.3";".7";"2.3"
252200150;"WARSZAWA-BIELANY";2020;8;14;"21.1";"51.8";"1.7";"2.0"
252200150;"WARSZAWA-BIELANY";2020;8;15;"22.6";"46.8";"2.7";".7"
252200150;"WARSZAWA-BIELANY";2020;8;16;"21.4";"44.5";"3.0";"1.0"
252200150;"WARSZAWA-BIELANY";2020;8;17;"21.8";"57.3";"1.7";"6.7"
252200150;"WARSZAWA-BIELANY";2020;8;18;"20.7";"77.3";"1.7";"6.0"
252200150;"WARSZAWA-BIELANY";2020;8;19;"19.1";"77.8";"2.0";"3.0"
252200150;"WARSZAWA-BIELANY";2020;8;20;"21.1";"64.0";"2.0";"2.0"
252200150;"WARSZAWA-BIELANY";2020;8;21;"22.6";"50.5";"1.3";"2.3"
252200150;"WARSZAWA-BIELANY";2020;8;22;"23.9";"63.5";"2.3";"4.0"
252200150;"WARSZAWA-BIELANY";2020;8;23;"20.2";"84.0";"1.7";"5.7"
252200150;"WARSZAWA-BIELANY";2020;8;24;"19.6";"65.5";"2.3";"6.0"
252200150;"WARSZAWA-BIELANY";2020;8;25;"17.9";"76.3";"1.7";"4.0"
252200150;"WARSZAWA-BIELANY";2020;8;26;"18.5";"67.0";"3.3";"7.0"
252200150;"WARSZAWA-BIELANY";2020;8;27;"16.0";"91.8";"4.0";"7.7"
252200150;"WARSZAWA-BIELANY";2020;8;28;"16.3";"82.0";"2.3";"5.3"
252200150;"WARSZAWA-BIELANY";2020;8;29;"17.8";"91.0";"1.3";"6.3"
252200150;"WARSZAWA-BIELANY";2020;8;30;"16.8";"97.3";"3.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;8;31;"16.5";"91.3";"3.0";"5.0"
252200150;"WARSZAWA-BIELANY";2020;9;1;"13.6";"94.3";"2.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;9;2;"14.1";"95.3";"2.0";"6.3"
252200150;"WARSZAWA-BIELANY";2020;9;3;"15.0";"74.5";"2.3";"5.3"
252200150;"WARSZAWA-BIELANY";2020;9;4;"16.6";"73.3";"2.7";"6.0"
252200150;"WARSZAWA-BIELANY";2020;9;5;"18.4";"87.8";"2.0";"4.3"
252200150;"WARSZAWA-BIELANY";2020;9;6;"15.5";"81.5";"1.3";"5.0"
252200150;"WARSZAWA-BIELANY";2020;9;7;"14.7";"69.0";"1.7";"5.0"
252200150;"WARSZAWA-BIELANY";2020;9;8;"15.4";"68.8";"3.3";"4.3"
252200150;"WARSZAWA-BIELANY";2020;9;9;"17.3";"75.8";"2.7";"2.3"
252200150;"WARSZAWA-BIELANY";2020;9;10;"15.9";"71.8";"2.3";"4.0"
252200150;"WARSZAWA-BIELANY";2020;9;11;"12.9";"74.5";"1.0";"2.0"
252200150;"WARSZAWA-BIELANY";2020;9;12;"16.3";"71.0";"1.7";".0"
252200150;"WARSZAWA-BIELANY";2020;9;13;"17.2";"72.3";"2.3";"3.0"
252200150;"WARSZAWA-BIELANY";2020;9;14;"19.0";"72.0";"2.7";"1.7"
252200150;"WARSZAWA-BIELANY";2020;9;15;"19.4";"75.3";"1.3";"1.3"
252200150;"WARSZAWA-BIELANY";2020;9;16;"21.1";"72.8";"2.3";"3.0"
252200150;"WARSZAWA-BIELANY";2020;9;17;"16.0";"72.3";"3.0";"4.7"
252200150;"WARSZAWA-BIELANY";2020;9;18;"11.5";"68.8";"2.3";"1.0"
252200150;"WARSZAWA-BIELANY";2020;9;19;"12.0";"68.3";"1.3";"2.0"
252200150;"WARSZAWA-BIELANY";2020;9;20;"11.9";"75.0";"1.3";"3.3"
252200150;"WARSZAWA-BIELANY";2020;9;21;"13.6";"75.5";"1.7";".0"
252200150;"WARSZAWA-BIELANY";2020;9;22;"16.9";"73.8";"1.7";".0"
252200150;"WARSZAWA-BIELANY";2020;9;23;"18.2";"67.5";"2.0";".7"
252200150;"WARSZAWA-BIELANY";2020;9;24;"17.9";"78.5";"1.3";"4.0"
252200150;"WARSZAWA-BIELANY";2020;9;25;"18.9";"74.8";"3.3";"5.0"
252200150;"WARSZAWA-BIELANY";2020;9;26;"18.8";"79.8";"3.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;9;27;"11.8";"97.0";"3.7";"7.3"
252200150;"WARSZAWA-BIELANY";2020;9;28;"11.1";"86.0";"2.3";"3.0"
252200150;"WARSZAWA-BIELANY";2020;9;29;"12.2";"93.0";"1.7";"7.3"
252200150;"WARSZAWA-BIELANY";2020;9;30;"13.1";"88.0";"2.0";"8.0"
252200150;"WARSZAWA-BIELANY";2020;10;1;"13.1";"92.3";"1.7";"7.7"
252200150;"WARSZAWA-BIELANY";2020;10;2;"13.6";"90.3";"3.7";"7.3"
252200150;"WARSZAWA-BIELANY";2020;10;3;"17.1";"76.3";"6.0";"3.0"
252200150;"WARSZAWA-BIELANY";2020;10;4;"17.6";"69.3";"2.7";"3.0"
252200150;"WARSZAWA-BIELANY";2020;10;5;"14.5";"82.8";"2.3";"5.3"
252200150;"WARSZAWA-BIELANY";2020;10;6;"13.2";"78.8";"2.0";"1.3"
252200150;"WARSZAWA-BIELANY";2020;10;7;"12.8";"82.8";"1.7";"5.7"
252200150;"WARSZAWA-BIELANY";2020;10;8;"10.5";"92.3";"1.7";"5.3"
252200150;"WARSZAWA-BIELANY";2020;10;9;"11.7";"88.0";"2.3";"4.7"
252200150;"WARSZAWA-BIELANY";2020;10;10;"14.1";"87.0";"2.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;10;11;"9.5";"85.8";"1.0";"5.7"
252200150;"WARSZAWA-BIELANY";2020;10;12;"7.2";"93.5";"1.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;10;13;"7.1";"97.5";"2.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;10;14;"7.7";"92.0";"3.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;10;15;"7.4";"88.3";"1.0";"7.3"
252200150;"WARSZAWA-BIELANY";2020;10;16;"6.1";"97.3";"1.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;10;17;"6.5";"97.3";"1.7";"8.0"
252200150;"WARSZAWA-BIELANY";2020;10;18;"7.1";"90.3";"4.3";"8.0"
252200150;"WARSZAWA-BIELANY";2020;10;19;"7.0";"87.3";"3.3";"4.0"
252200150;"WARSZAWA-BIELANY";2020;10;20;"7.3";"82.8";"2.0";"5.0"
